0,1,2,3,4
0.86476517,52.090336,10.145007,5.001918e-15,1e-16
15.5144825,1.6654821e-13,2.5207826e-12,2.171164,2.0150082
8.088938,0.82239956,0.9423151,0.26734605,8.92285
0.030664165,0.29184163,3.757337,4.502221,0.9575
2.5467877,0.17649977,8.750863,5.072983,3.6176252
0.21920158,0.28641,3.7507565,3.3732102,0.59494126
0.006368145,0.49341136,1.1382756,1.5164677,0.89904356
1.9837219e-11,17.630138,1e-16,2.5951524,0.15917817
0.11711851,3.6817782,2.3208442,2.881305,3.74942
0.16501373,0.2632092,8.63455,6.9514937,0.6394283
1.708453,0.47477698,5.2226486,2.7325616,1.265745
0.00010833658,3.707133,3.1143327,2.4132843,0.12778115
6.2613873,1.3507398,1.8669047,2.1089537,5.5238748
83.33958,6.73741e-16,11.650336,3.7818673,9.143781
6.4522986,1.5009539,3.2588444,2.6844497,9.209678
0.016617203,0.05377912,4.586149,5.784533,0.45473713
0.21928337,0.2543558,1.203122,2.5964105,0.7790775
1e-16,1.9043891,1.3141918,1.4480083,0.34869125
12.029432,5.3091693,4.3726287,3.4338799,8.156446
2.507059,1.2184062,4.79291,3.5255058,3.4726558
1e-16,1e-16,3.5004241,9.541112,1e-16
4.553033e-07,5.324638,5.1600876,4.0174837,0.928513
4.4307294e-10,0.18992689,0.9031505,2.4848406,0.4182972
1.7792105e-05,0.061377175,0.99866396,2.1082654,0.14830865
9.725226e-11,0.28919587,0.00029416944,13.906011,0.593209
0.06587756,0.6613748,1.6333113,1.2837542,0.3338053
1e-16,0.19545025,2.5980852,9.849068,6.26882e-11
0.027484901,1e-16,0.0008386874,13.621059,0.04418581
5.479969,0.98849624,6.5457916,4.091414,3.1108587
0.019341698,0.5731571,3.943435,12.637254,0.22917862
1e-16,0.18109606,5.438503e-07,5.579931,0.41017145
1.831478,0.1258799,2.946173,0.48889783,1.7532277
1e-16,10.102398,0.7861498,2.1679685,0.2648314
5.991381e-09,1e-16,1.2401097,6.003707,7.867956e-11
0.0008705826,0.06602758,1.7615656,3.1170125,0.3801515
1e-16,0.06729653,0.9767942,6.3882093,1e-16
1e-16,5.1512094,5.573382,3.231873,4.363411
2.9961893e-05,0.23735362,1.6977936,2.0645037,0.78546125
0.35522798,3.8974688,0.50931484,1.5022852,0.46727723
0.0032276176,2.6526947,1.3881899,0.9643857,0.042555228
0.11212038,0.31325844,3.303263,2.3916554,0.8257322
1e-16,0.15943034,7.26472e-05,8.284493,0.08835884
6.3821797,1.4730115,7.8936524,1.8580492,2.383927
0.00029141633,0.7192832,3.052169,5.5609994,1.4463215
