,mu,variance,a,b
CDK11B,56.790618033567796,151.738657343803,21.254796589686,0.37426598486959084
SLC35E2B,135.31084429032796,839.4397720005568,21.81100442611532,0.16119184342177942
CDK11A,55.89385540481881,144.04494871099303,21.68852917073079,0.3880306522720375
SLC35E2,58.7100877308531,194.78027093371202,17.69621935959579,0.30141701441021934
NADK,122.734797469417,1052.02783768117,14.318851621894144,0.11666497128055398
GNB1,94.86685579894208,418.63082232166795,21.497987843480043,0.22661220994866976
CALML6,0.0621215056114743,0.024130256701674797,0.15992707856972724,2.57442373612058
TMEM52,22.2788793271641,29.5093504733473,16.820040296130518,0.7549769469608039
KIAA1751,0.46827415385745796,0.0417065540343704,5.257703213509533,11.227831325300885
GABRD,1.88982271007794,0.771979917646529,4.6263248484678865,2.4480205597048244
PRKCZ,52.2149824628862,215.276379174943,12.664670429930995,0.24254859108557386
C1orf86,47.124982373549095,114.58909208949397,19.380238757567763,0.41125190464677497
SKI,151.00524491931003,1446.4997733571302,15.763973429611465,0.1043935489660308
MORN1,47.0631617708187,134.230042151502,16.501083962756294,0.3506157117770977
RER1,48.2681367216719,146.416425724815,15.91223806378678,0.3296634000094383
PEX10,50.2473012322009,116.785881025122,21.61897704549085,0.43025150635625314
PLCH2,0.0009999999999999998,1.0713467037790598,9.334046546021075e-07,0.0009334046546021076
PANK4,30.879705485131904,59.530432234345206,16.017962159165126,0.5187213384168293
HES5,12.2395560163553,10.5238283901024,14.235003263488368,1.1630326495884835
TNFRSF14,130.07177352306903,885.5206755873911,19.105896376969316,0.1468873365794522
FAM213B,73.27818260021292,358.82010236828404,14.964858461800524,0.20421983639311825
MMEL1,1.0177410454155,2.38517732734987,0.4342640790881117,0.42669408003567383
TTC34,0.08070910240376572,0.00010000000000000002,65.1395921082154,807.091024037657
ACTRT2,0.0025359559436206,0.0012895090008381,0.004987225791991257,1.9666058491816556
PRDM16,20.4941143473351,42.6934481867199,9.837779348361304,0.4800294944016712
ARHGEF16,9.5417262251452,11.741195646488398,7.754281769664031,0.8126707460154602
MEGF6,50.007736078410495,339.4472782393149,7.367193163719756,0.14732106952748747
TPRG1L,92.12968298996181,388.4473552073961,21.85078202759056,0.2371741801170787
WRAP73,33.6117499142574,67.6511893068951,16.699628548635683,0.49683900990683166
TP73,11.9610150843526,16.0855637392559,8.894054580068357,0.7435869378430564
CCDC27,0.001,0.064351372195549,1.553968417272021e-05,0.015539684172720208
SMIM1,39.6165094830179,148.85965192588398,10.543272158122956,0.26613329381384443
LRRC47,43.9538064521868,92.8717789259672,20.802197653351104,0.47327408778531743
CEP104,84.1520824146615,289.779317371571,24.43781370926345,0.29040058199445984
DFFB,80.821764667485,276.22821666914194,23.64768423274568,0.29259054575257576
C1orf174,78.2802014250017,218.59799729573498,28.0322327328952,0.35810118296325766
AJAP1,3.74840317505052,3.9471460883343696,3.559667174279305,0.9496489593148765
