"Gene","Mean","Var","Max","cv","n"
"A1BG",39.2320255466273,53.0522243783396,66.3761601960848,0.0344684802345621,269
"A1CF",2.88296874953633,33.2522784518295,70.9969592787401,4.00075115225879,195
"A2M",1.18305987923511,6.0699252449156,22.1956249692572,4.33680494501207,111
"A2ML1",0.462226930847267,1.75945750430323,15.3776786465478,8.23508888977855,101
"A4GALT",11.2667189075276,161.042936234402,72.8945417515549,1.26866442463584,249
"AADAC",1.59029189366689,9.1465933675819,26.6183652601902,3.61664333374163,147
"AADAT",9.86684043412606,173.114387381346,84.9185620661952,1.77818504519834,247
"AAK1",82.2035145831692,149.051574366853,116.352098889943,0.0220574749943878,269
"AAMP",37.5646809190321,131.984598308476,89.1460840388782,0.0935327808255905,270
"AAR2",35.3959249419169,124.669990760429,87.9711872052181,0.0995074040013491,270
"AARD",9.04257003194491,94.8758284817219,79.7020640069543,1.16030408022382,259
"AARS2",28.6383505104769,74.15881239594,82.1273298407154,0.0904204711902214,269
"AATK",23.041847406313,271.596499849221,127.286091578407,0.511551751932728,268
"ABAT",26.515031830503,241.845950386695,106.896058473738,0.343996888293179,269
"ABCA10",0.680003687506152,6.51713908946461,29.6312884147543,14.0940060720471,58
"ABCA12",0.676889582870476,4.89951415749797,22.152666509838,10.6934380049344,93
"ABCA13",1.06102426369906,6.87776656898633,34.0780478265753,6.10937524351749,124
"ABCA3",39.9981552351063,109.172957425744,85.7493175068621,0.0682393925277319,269
"ABCA4",1.19745300298574,17.3279500298284,54.6849992130287,12.0845430159784,98
"ABCA6",2.25125454142041,20.1682160275631,34.9663096127919,3.97940627742455,110
"ABCA8",0.845446707583936,6.48138665683915,31.7515825827724,9.06766477713294,79
"ABCB1",8.88023170131308,56.5475390567103,43.929679851028,0.717075879595601,222
"ABCB11",1.10813953836498,6.50874167089288,26.0045898023176,5.30039375248047,108
"ABCB4",8.46986944250008,72.0403760805535,66.312424134641,1.00420536971611,239
"ABCB5",0.542689156673678,6.38117361772962,36.393305047088,21.666974524529,90
"ABCC2",2.28000919268212,29.427082709201,64.9736847826417,5.66075050358073,134
"ABCC3",27.7601463337235,455.834460779071,138.080810689842,0.591512126191641,244
"ABCC5",59.6050236736563,208.337506463281,141.536725793198,0.0586410492316874,270
"ABCC6",1.62974322349818,7.68552154290665,18.4947912056578,2.89357655167901,147
"ABCC8",7.21427142775718,297.863299894215,110.240914079496,5.72310930358118,100
"ABCC9",4.10876022410668,40.8519522556594,52.4631399519493,2.41986545681564,196
"ABCD2",8.58313100960297,43.3278239436451,49.6082672990265,0.588132792502518,248
"ABCD4",44.0224377296873,113.914993622794,95.9749630286645,0.0587804240156877,269
"ABCF2",40.1954549730783,81.9052906027584,83.3026397423315,0.0506941747909994,270
"ABCG1",57.4459720209902,280.683071271632,119.335868943845,0.0850544528750549,270
"ABCG2",9.89612735234233,69.1688696989488,56.6176523947183,0.70628523563925,254
"ABCG4",16.0202684285486,93.1167685690414,68.8921239380906,0.362817577233413,269
"ABCG5",4.82592157570387,97.5480431151748,119.550501152499,4.18849538650671,188
"ABCG8",4.64686347844601,88.7874849139417,115.268245599337,4.11179947816033,196
"ABHD12B",1.63837450947052,23.7931769281576,73.5275228808832,8.86392492901856,141
"ABHD17B",107.877738009182,179.310093679592,162.931235067472,0.0154078156765179,270
"ABHD8",24.7626413850467,95.7318272311953,120.90736241863,0.156121390954769,270
"ABI2",61.3372812579332,113.009680942162,93.2070159401509,0.0300376950823732,269
"ABI3",10.7314578455617,118.091584216767,81.3269303500899,1.02541933208123,218
"ABI3BP",1.48686594527112,10.8154638989988,23.6460045901689,4.89216980488276,123
"ABLIM2",32.847546585916,429.023820410536,153.380211756088,0.397626693158164,269
"ABLIM3",39.1255747945899,370.238313844872,126.260317816412,0.241857688415272,266
"ABO",41.5463449584669,826.862221908891,132.831239410563,0.479035285681921,254
"ABR",129.682243461604,1749.50276435379,389.628058903913,0.104028803377819,270
"ABRA",0.69881005369226,5.05116094418114,28.4989777665987,10.3436285828317,108
"ABTB2",45.6169561800897,192.180057590555,121.390501855584,0.0923540004985137,270
"ACAD11",82.789783275957,498.052989837953,190.835512547268,0.0726644616112489,270
"ACAD9",44.9964294102939,125.703355572602,109.020727512936,0.0620855832958424,269
"ACADL",8.74208679070279,110.773817639652,76.5056436508995,1.44946220522345,244
"ACADSB",72.2533590901385,118.665101912022,102.076185687593,0.0227303923246016,269
"ACAN",2.3801343307707,50.8485382095872,51.8041324136112,8.97584894427262,122
"ACAP1",20.474898592325,130.403511921059,50.6746973207997,0.311061146713432,249
"ACAP3",60.6953974344292,427.741504802395,173.015574411502,0.116110066525351,269
"ACBD7",5.34990617275434,20.1423235838713,33.4387964987548,0.703748103997225,258
"ACE",11.7751250162571,209.121698513688,79.0542555518112,1.50823162936209,250
"ACHE",14.3292301663714,264.828939093545,123.242982775042,1.28979213217065,261
"ACMSD",2.4404451333339,24.6186589006704,70.4771541540503,4.13357949993143,211
"ACOT1",12.8576333603051,124.340381404109,58.3902848730874,0.752125165558229,214
"ACOT11",8.84702524782092,63.2555907591456,44.9415909334312,0.808173084831561,240
"ACOT12",5.24390397664239,35.7137779190194,38.5199133737996,1.29875230881605,223
"ACOT13",87.7114945096992,183.70945735221,134.411437709611,0.0238791295869083,270
"ACOT4",19.4442390121679,142.106946960263,109.113651745859,0.375866316080863,269
"ACOT6",17.4746215946307,72.2170952767074,53.8002603453291,0.236496357462945,268
"ACOX2",1.01460859394111,27.3099610475455,79.7599514457736,26.5291910661584,94
