,0
0,-4.664657496375032
1,-4.505509054114251
2,-4.3882556006496305
3,-4.29904643575477
4,-4.231342970621633
5,-4.180332987805502
6,-4.1420890658214224
7,-4.11347088001403
8,-4.092038329401473
9,-4.075932364623528
10,-4.063756671834248
11,-4.054474520111852
12,-4.047323095966712
13,-4.0417450358735865
14,-4.037334728255635
15,-4.0337975127198265
16,-4.030919116924494
17,-4.028543165216898
18,-4.026554935055901
19,-4.024869665671722
20,-4.023424122082628
21,-4.022170717020892
22,-4.021073243942135
23,-4.020103831081022
24,-4.019240805489965
25,-4.018467089852039
26,-4.017769113072753
27,-4.017135938529251
28,-4.016558675386757
29,-4.016030039440747
30,-4.015543967690575
31,-4.015095411061123
32,-4.014680092371418
33,-4.0142943891382314
34,-4.013935189802852
35,-4.013599837725563
36,-4.013285996077839
37,-4.012991652854299
38,-4.012715030401829
39,-4.012454580588615
40,-4.0122089064932425
41,-4.011976795511623
42,-4.011757144416753
43,-4.011548978252616
44,-4.0113514230937
45,-4.011163683766778
46,-4.010985045825993
47,-4.010814860369428
48,-4.010652542509115
49,-4.010497558270186
50,-4.01034941854577
51,-4.010207684060862
52,-4.010071921500657
53,-4.009941782909981
54,-4.009816915283003
55,-4.009696993763349
56,-4.00958172972484
57,-4.009470855279919
58,-4.009364118021307
59,-4.009261274106731
60,-4.009162123385444
61,-4.009066455029743
62,-4.008974095607688
63,-4.008884856112278
64,-4.00879858154722
65,-4.008715121204662
66,-4.008634334851033
67,-4.008556094861427
68,-4.008480263001798
69,-4.008406743154488
70,-4.008335413333517
71,-4.008266169635696
72,-4.008198924258118
73,-4.008133588939253
74,-4.008070062734978
75,-4.008008283995441
76,-4.007948177347938
77,-4.00788965657507
78,-4.007832667466416
79,-4.007777142552938
80,-4.007723017639061
81,-4.007670242261072
82,-4.007618769068108
83,-4.0075685387084725
84,-4.007519498730218
85,-4.0074716190786335
86,-4.007424844152294
87,-4.007379135100427
88,-4.007334459059779
89,-4.007290766497375
90,-4.007248036397109
91,-4.007206223584548
92,-4.007165303272079
93,-4.0071252456760735
94,-4.0070860175654754
95,-4.007047589127324
96,-4.0070099429690975
97,-4.006973051569937
98,-4.006936883252975
99,-4.006901425151644
