,0
0,-4.6635956172701905
1,-4.5618738476687115
2,-4.498801811363362
3,-4.456650005902257
4,-4.427583547094185
5,-4.407242072627693
6,-4.392860785409063
7,-4.382583615212608
8,-4.375140637509152
9,-4.369659834217466
10,-4.365543421035726
11,-4.362382440025266
12,-4.359897377073113
13,-4.357896893845126
14,-4.356249520658609
15,-4.354864282873366
16,-4.353677641510312
17,-4.352644646805432
18,-4.351733052188158
19,-4.35091933965655
20,-4.350186038132012
21,-4.349519932057708
22,-4.348910851246863
23,-4.348350816718303
24,-4.347833442766685
25,-4.347353569319845
26,-4.346906926856563
27,-4.346489921150543
28,-4.346099521589838
29,-4.345733124678582
30,-4.345388470484875
31,-4.345063591704518
32,-4.344756752108596
33,-4.34446644776091
34,-4.344191294039134
35,-4.343930111044086
36,-4.343681824362278
37,-4.343445478235092
38,-4.343220206167642
39,-4.3430052353034725
40,-4.342799868249242
41,-4.342603468910977
42,-4.342415458400082
43,-4.342235327671655
44,-4.342062572614104
45,-4.3418967745391654
46,-4.34173751762053
47,-4.341584435342439
48,-4.341437185097299
49,-4.341295446083043
50,-4.3411589186563155
51,-4.341027344165556
52,-4.340900453682896
53,-4.3407780215622855
54,-4.340659815603495
55,-4.3405456319021996
56,-4.3404352808822875
57,-4.340328572749533
58,-4.3402253445750105
59,-4.340125438147504
60,-4.340028688655235
61,-4.339934972638358
62,-4.339844147607591
63,-4.339756082656049
64,-4.339670665559359
65,-4.339587784313038
66,-4.339507328071166
67,-4.339429201884381
68,-4.33935331163276
69,-4.339279557454027
70,-4.339207861842401
71,-4.339138138256408
72,-4.339070315259137
73,-4.339004316782672
74,-4.33894007962523
75,-4.338877522398159
76,-4.33881660186369
77,-4.338757240942586
78,-4.338699394324794
79,-4.338642996494937
80,-4.3385880037002265
81,-4.338534363993071
82,-4.33848202704247
83,-4.338430956411641
84,-4.338381100764685
85,-4.338332415741961
86,-4.338284870043211
87,-4.338238420087937
88,-4.338193028488383
89,-4.338148669910617
90,-4.338105304964911
91,-4.338062894251477
92,-4.3380214199893175
93,-4.337980841489043
94,-4.337941139420308
95,-4.337902281455137
96,-4.337864237580914
97,-4.337826998036261
98,-4.337790517103858
99,-4.3377547938333825
