0,1,2,3,4,5,6,7
4.3462173e-08,1.1658083,3.8420312,0.18850747,0.02804977,0.0059857834,2.335972e-15,68.698494
0.003413272,1.6580243,2.9817905e-11,17.62941,0.79642373,1.8084792,1.1535054,1e-16
1.6630747,0.13568237,1.0962435,6.6462197,0.015911609,0.093688026,12.215328,1.2036625
0.50576293,2.9001176,4.5921755,1e-16,0.8400635,3.0859408,0.43961355,0.03171799
0.08161666,1.5490127,7.8723664,2.7387924,0.06124834,5.8353767,3.5992217,0.40996268
0.033862952,2.230857,3.5503776,0.27510545,0.08036074,2.6577559,0.31822246,0.8259031
0.5222414,2.0107436,2.1434388,6.4211148e-09,1e-16,1e-16,0.5642895,0.87767315
0.19594578,0.7484856,0.0008821981,1e-16,21.133041,0.29735318,7.225437e-14,1.507372
3.4224238,3.8234477,3.5626142,0.67935824,0.4245306,0.06980402,0.0010041128,3.0803175
0.39845982,4.8418326,10.242307,0.02714813,0.42598665,4.1736846,0.18846643,9.62299e-09
0.64891666,0.46596596,4.534275,1.6414306,0.05081863,3.3961804,1.3263346,0.5389495
1e-16,1.7245245,3.4849281,6.474426e-16,3.5231674,0.78902173,1e-16,3.2414448
1.132328,2.2885115,3.4576685,5.272664,2.2839963,0.08013427,6.1505527,0.30511382
6.7944534e-08,1.521691,10.180956,111.56799,0.017164523,5.4241123,3.2373939,1e-16
1.0938293,1.0556096,3.176014,6.416345,1.0050694,2.3844988,8.907705,4.5709944
0.39174837,4.652196,5.8783655,0.00089927623,0.00035835855,3.1780064,0.17952116,0.1865165
0.39372694,3.1572292,2.4992232,0.19840284,0.2786141,0.33893424,0.34474683,0.004513106
1.0702736e-07,0.97866255,1.622716,1e-16,2.3220284,0.6240356,0.30410284,1.5086005
4.9782786,0.4094175,2.3418767,11.376263,2.7316661e-08,5.245044,7.1421633,5.9910564
0.87443405,1.6087735,4.7375193,2.148565,0.74554104,2.9220006,3.682226,1.9291033
4.7596455e-08,3.8692052,1.5363073,1e-16,1e-16,11.113186,1e-16,1e-16
0.00012243679,0.07963663,3.236806,1e-16,7.460741,4.682692,0.75936264,2.8566706
0.020168042,3.5837398,2.2273774,5.5676574e-06,0.08450783,0.0140811,0.16125162,2.0934064e-14
0.14380597,1.4382507,0.8265501,1e-16,0.05351274,1.7776719,0.06742197,0.16433178
1.1994374,11.330971,0.0003760135,1e-16,2.349016e-09,10.469214,0.037575204,0.25688073
0.2513499,0.2913686,1.5511938,0.030078853,0.87950397,1.3090001,0.30741245,0.3856193
