,0
0,-4.457530965900421
1,-4.408420650720596
2,-4.3679028164863585
3,-4.3332278541326525
4,-4.303253919959069
5,-4.277272300982475
6,-4.2547381822109225
7,-4.235194895148277
8,-4.218246978449821
9,-4.203547959136963
10,-4.190793666148186
11,-4.179717429232597
12,-4.170086354470253
13,-4.16169779150486
14,-4.154376238608361
15,-4.147970141148567
16,-4.142349162578583
17,-4.137401515388489
18,-4.13303153295517
19,-4.129157517123223
20,-4.12570978679657
21,-4.1226290173769
22,-4.119864668369293
23,-4.117373778486252
24,-4.115119739794731
25,-4.113071430706978
26,-4.111202324008942
27,-4.109489792346954
28,-4.107914544510841
29,-4.106460051608086
30,-4.1051121800422665
31,-4.103858769011498
32,-4.102689385485649
33,-4.101594993853569
34,-4.100567813563347
35,-4.099601051568985
36,-4.098688815498352
37,-4.097825962567329
38,-4.097007998967171
39,-4.096230935549736
40,-4.0954912819385525
41,-4.0947859560728075
42,-4.094112210440636
43,-4.093467599868775
44,-4.092849927854538
45,-4.0922572581768035
46,-4.0916878202915195
47,-4.091140027046204
48,-4.09061244840622
49,-4.090103785967827
50,-4.089612852072716
51,-4.089138562440872
52,-4.088679955208302
53,-4.088236113357544
54,-4.087806206572056
55,-4.087389484775066
56,-4.086985240674019
57,-4.086592816007137
58,-4.086211622154713
59,-4.08584110584259
60,-4.085480731296539
61,-4.085130038380623
62,-4.0847885576486584
63,-4.084455882191658
64,-4.084131618523598
65,-4.083815398693084
66,-4.083506878435612
67,-4.083205729007721
68,-4.082911656689644
69,-4.08262437543869
70,-4.082343610918522
71,-4.082069108092785
72,-4.081800624334812
73,-4.081537943089009
74,-4.081280836570263
75,-4.081029118728638
76,-4.080782579529285
77,-4.080541045308113
78,-4.080304331040383
79,-4.080072292459011
80,-4.079844757032395
81,-4.079621577346325
82,-4.079402619051933
83,-4.07918773804903
84,-4.078976801264286
85,-4.078769702577591
86,-4.0785663082480434
87,-4.078366517782212
88,-4.078170222282409
89,-4.077977309024334
90,-4.07778768285513
91,-4.077601265466213
92,-4.07741794308424
93,-4.077237649357319
94,-4.077060287570953
95,-4.076885787570476
96,-4.076714068937302
97,-4.076545057916642
98,-4.076378676843643
99,-4.076214870023727
