GeneName,Healthy,SCLC
SAMD11,4.012841124666639,70.62137479029437
NOC2L,68.66142246932787,91.85573286255458
KLHL17,68.06722521973853,90.22800435904625
PLEKHN1,11.58023943310018,16.050257380874683
HES4,17.01998105926794,80.14660755185933
ISG15,31.95594819462372,32.19349101867551
AGRN,30.71516261030647,46.65430227505166
RNF223,0.1963605484408677,3.986762221761947
C1orf159,41.31153882982486,52.27927641140279
TTLL10,0.023241666399675925,4.296240698201622e-05
TNFRSF18,0.35427609167540836,14.200801564328632
TNFRSF4,0.4579727367133991,3.8542062710651546e-08
SDF4,59.335249985485575,58.489445120469156
B3GALT6,59.485508188484154,56.44622728942586
FAM132A,0.14100126646531425,5.189782282252326
UBE2J2,71.06254915989939,82.78394179432526
SCNN1D,0.012505399523955626,7.148326267807192
ACAP3,56.34672226292034,108.99160676525045
PUSL1,56.06594954311459,107.3058349179135
CPSF3L,53.27313932129453,55.28619525604508
GLTPD1,52.90627052651839,54.47544179603618
TAS1R3,0.04645658323895615,7.740558437640583
DVL1,40.54594457616387,63.383709911009554
MXRA8,0.37853698770902783,22.048351145677216
AURKAIP1,59.244345962418585,54.31374710019975
CCNL2,71.26902603994517,81.1952535572367
MRPL20,58.64167655117572,63.81934621583063
ANKRD65,0.851923222673901,62.20192332984556
TMEM88B,0.2987612046054404,15.990188591056349
VWA1,3.2506401990091156,38.22954905747762
ATAD3C,0.5620754078978158,12.375946379932218
ATAD3B,46.32419223752739,52.59960052220375
ATAD3A,49.03193543532732,47.598334848763734
TMEM240,3.16001273170133,21.14006412613013
SSU72,79.97135839645675,70.97237776325017
C1orf233,21.711335665741178,33.56482620867594
MIB2,76.57064070285884,109.58967514930607
MMP23B,1.0964779920990648,17.76426767846662
CDK11B,24.79088153815642,16.286973880454518
SLC35E2B,29.52487803878962,24.537589904223545
CDK11A,24.168780248876757,14.266958068703028
SLC35E2,9.587903866428142,6.969880435513286
NADK,104.98948646495568,59.89116267131493
GNB1,90.31379174401538,94.54453159138227
CALML6,0.046998938328383845,0.32802910980876354
TMEM52,21.081951916581335,21.518412636567064
KIAA1751,0.8431060178428723,7.514913313290556
GABRD,1.8083966022681128,13.69433621711393
PRKCZ,42.10435701990502,68.64755383337926
C1orf86,45.31140110542619,51.70314578311389
SKI,115.63360214093541,93.11450728131743
MORN1,49.466168820164015,83.20113427217974
RER1,49.93209663428863,68.89618523002517
PEX10,48.03262499620492,78.88222332868567
PLCH2,0.00128838287171121,8.10282916199526
