0,1,2,3,4,5,6,7,8
0.9160082,0.13964406,19.815573,2.368108e-06,4.4057978e-12,7.20664e-12,0.951648,77.53957,9.324668e-12
0.43353358,0.29578456,1e-16,2.125025,0.49198905,17.177671,5.076312,1e-16,1e-16
0.6141327,0.8147683,0.16154018,1e-16,11.473399,5.633214,4.6957865,0.848665,1.8134925
3.3133678,4.914839,0.00016283213,3.3018289,0.20407888,0.16191982,0.16884156,1e-16,0.41036242
9.566691,4.451804,0.13436039,2.339476,2.3707147,2.3473043,1.545112,0.4291701,0.6635007
3.8258667,2.9552794,0.22080794,2.1562283,0.4520088,0.086313814,0.0012239789,0.21698911,0.16496322
2.323971e-13,3.4241526,1e-16,1.123873,0.16425209,1.2826346e-08,0.3403869,0.6432746,0.47284228
0.27104685,0.5587244,20.20006,1.3014606,7.379545e-08,1.4268087e-09,0.058405206,0.07165536,2.0666546e-09
0.4074562,4.229664,1.2500254,2.1714554,1e-16,1.7860459,1.902282,4.053333,2.2337995
7.3712797,9.601967,0.083721705,3.7772908,1e-16,0.3452543,1e-16,9.321019e-12,1.1354461e-16
4.405673,3.8253791,4.378799e-11,1.2167323,0.8923109,1.4173628,1.5548183,0.6849355,0.112548776
1.8973768,2.732702,3.4578736,1.4179037,1e-16,1e-16,1e-16,3.681115,1e-16
1.3628234,3.256878,0.25477883,1.2838309,6.1763215,4.736285,3.511514,1.2672181,0.28591952
8.839104,6.5190253,2.3603694e-13,1.9080617,6.128345,5.3423954e-10,125.1857,4.2896454e-16,3.4335027
2.7717977,2.3627412,1.0117437,1.6015959,8.928823,5.8999734,4.1860523,4.4227157,1.3908335
3.38586,6.338775,0.013327978,4.1224184,1e-16,0.14117314,4.621455e-11,1e-16,4.924647e-13
0.39358702,3.3319268,0.08967801,2.353569,0.41741732,3.9533795e-08,0.13587253,1.2119659e-08,0.29022378
0.9576975,1.4843222,2.087427,0.90495086,0.4148455,9.3731715e-12,1e-16,0.86062306,0.07007636
4.608095,1.6007378,1.4844022,2.3448455,6.6257944,7.943088,12.798338,4.081443,2.1645327
3.4178813,5.149541,0.862122,1.7666276,3.663571,2.106372,0.50824875,1.5528132,0.7516044
6.8827467,0.18007103,1e-16,8.907133,1e-16,0.009017711,0.03144149,1e-16,4.0997175e-12
5.917782,1.5283989,6.652755,1.9827142,1.1250305,0.006780007,2.4914798e-13,1.9611256,0.019959139
1e-16,3.0162203,2.526147e-15,2.3228557,0.1433287,2.524064e-16,1e-16,1e-16,1e-16
1.388788,0.89004666,0.04518343,1.7276764,0.09837783,0.005366954,1e-16,0.11465359,0.2937074
