,0
0,-4.553350995939205
1,-4.347063918195976
2,-4.185394450190894
3,-4.053810020733375
4,-3.946157254403754
5,-3.8586868982275453
6,-3.7880881096814623
7,-3.73131562001348
8,-3.6857074938684695
9,-3.6490295312903727
10,-3.6194504715145888
11,-3.5954938213598244
12,-3.575983914358967
13,-3.5599937569590336
14,-3.5467969511546684
15,-3.535825924115605
16,-3.5266373395166863
17,-3.5188844390537306
18,-3.5122953172843983
19,-3.5066558327846797
20,-3.501796286495884
21,-3.4975816556552193
22,-3.493903949440112
23,-3.490675985143967
24,-3.48782728397504
25,-3.4853001642215693
26,-3.4830474097430737
27,-3.481029971367154
28,-3.4792154162798674
29,-3.47757677848422
30,-3.476091260494025
31,-3.474739568921677
32,-3.4735055141942155
33,-3.472375206769792
34,-3.4713368434330376
35,-3.4703801230399027
36,-3.469496310325923
37,-3.4686776742531396
38,-3.467917590845247
39,-3.4672102267223206
40,-3.4665504002763847
41,-3.4659337598945137
42,-3.4653563339504703
43,-3.464814504362223
44,-3.4643052289973637
45,-3.4638257834333794
46,-3.4633736689370167
47,-3.4629466286070865
48,-3.4625426876966316
49,-3.4621600430280552
50,-3.461797104051786
51,-3.4614523798313943
52,-3.4611246204265598
53,-3.460812545062734
54,-3.460515093748422
55,-3.4602313025759357
56,-3.459960221348518
57,-3.4597010141352387
58,-3.4594529432701324
59,-3.4592153604535953
60,-3.4589875128782164
61,-3.4587688471230673
62,-3.4585588524042805
63,-3.4583569865222437
64,-3.4581627947534965
65,-3.4579758113935366
66,-3.457795727938036
67,-3.4576221069514874
68,-3.457454571978777
69,-3.4572928545836823
70,-3.4571366497152187
71,-3.4569856283151412
72,-3.4568395653829955
73,-3.456698251652086
74,-3.456561403848361
75,-3.4564288273864956
76,-3.456300369737832
77,-3.4561757764847876
78,-3.456054892509625
79,-3.455937529292913
80,-3.455823625614347
81,-3.4557129439438317
82,-3.4556053102473503
83,-3.4555006605266523
84,-3.455398852547546
85,-3.4552997507958905
86,-3.455203256404717
87,-3.455109275212844
88,-3.4550176857594153
89,-3.4549284539602594
90,-3.4548414437823043
91,-3.454756562537719
92,-3.4546737465914674
93,-3.454592882456678
94,-3.454513935600282
95,-3.4544368434351695
96,-3.454361511825487
97,-3.4542879671250573
98,-3.4542160516598504
99,-3.454145724575725
