,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-3.3133504390716553,-3.294112205505371,-3.9215331077575684,-3.316265106201172,-3.510618209838867,-3.38289475440979,-2.9780309200286865,-3.5631144046783447,-3.6598243713378906,-2.9998114109039307,-4.477467060089111,-3.1368699073791504,-3.6598708629608154,-3.822054386138916,-3.241302013397217,-3.3804421424865723,-3.611633062362671,-3.865342617034912,-2.22818660736084,-3.58447527885437,-3.041808843612671,-3.610527515411377,-3.1677072048187256,-2.8661794662475586,-2.9370577335357666,-2.6039743423461914,-3.6465461254119873,-3.494396686553955,-3.4028990268707275,-2.2182860374450684,-3.2945868968963623,-3.1547250747680664,-3.480454444885254,-2.8182544708251953,-2.957730770111084,-3.0539474487304688,-3.150308132171631,-3.3114523887634277,-4.677518367767334,-2.606240749359131,-3.1874773502349854,-6.828579902648926,-2.8964333534240723,-3.060957670211792,-5.468225002288818,-3.8539938926696777,-3.7359728813171387,-2.636524200439453,-5.163202285766602,-2.5554680824279785,-3.5760655403137207,-1.7240322828292847,-2.995527982711792,-3.875039577484131,-3.269658327102661,-3.1007728576660156,-4.4531660079956055,-3.230701208114624,-3.372683048248291,-3.4527297019958496,-3.4450137615203857,-3.577354907989502,-4.553531646728516,-4.153138160705566,-2.2096054553985596,-3.0162174701690674,-3.5898525714874268,-5.9009552001953125,-3.087196111679077,-3.1414151191711426,-3.3036108016967773,-4.06856107711792,-3.280576229095459,-3.0398199558258057,-3.1113991737365723,-3.052891969680786,-3.2906737327575684,-3.2328696250915527,-3.709089994430542,-3.4320263862609863,-4.856834411621094,-3.1494741439819336,-2.7401576042175293,-2.699406623840332,-2.800968885421753,-3.85444712638855,-3.2625184059143066,-2.377805471420288,-3.6781320571899414,-3.100188732147217,-3.298978805541992,-6.833469390869141,-3.338263988494873,-3.1712470054626465,-2.8429644107818604,-5.478824615478516,-3.511950731277466,-4.045154094696045,-3.7350504398345947,-3.0921835899353027
1,-2.4917078018188477,-3.04935359954834,-3.0932939052581787,-2.9368090629577637,-3.541992664337158,-4.0469889640808105,-2.406811475753784,-3.984528064727783,-2.9507336616516113,-2.876755952835083,-3.2594218254089355,-3.2401106357574463,-3.53120756149292,-3.046100378036499,-4.203364372253418,-4.246699333190918,-3.5815560817718506,-3.624500036239624,-2.634324789047241,-3.358987808227539,-3.3688955307006836,-3.279907464981079,-3.668039560317993,-3.3824081420898438,-5.576083183288574,-2.2079238891601562,-3.3183164596557617,-3.348278522491455,-3.368807792663574,-2.6243410110473633,-3.200059413909912,-3.151052713394165,-3.2288923263549805,-3.4835264682769775,-2.843313217163086,-3.264427900314331,-2.6869664192199707,-3.0986194610595703,-3.2770016193389893,-4.839295864105225,-4.251468181610107,-3.7008485794067383,-3.305479049682617,-3.1452972888946533,-3.87819766998291,-5.372434616088867,-3.585110902786255,-1.8358334302902222,-3.4935691356658936,-2.687870979309082,-3.3347115516662598,-1.8347179889678955,-3.2324578762054443,-3.302699089050293,-2.991335153579712,-3.370143175125122,-3.365079879760742,-3.4786062240600586,-3.192147970199585,-3.2656166553497314,-2.938375949859619,-3.11333966255188,-3.803802490234375,-3.6259257793426514,-2.552338123321533,-3.1520183086395264,-3.1054251194000244,-3.5132668018341064,-2.917356252670288,-4.711236953735352,-3.3257367610931396,-3.8468148708343506,-3.11415958404541,-5.674086093902588,-2.4845683574676514,-2.7052459716796875,-2.8672757148742676,-3.2848005294799805,-3.962203025817871,-4.566357612609863,-5.380290985107422,-2.849031448364258,-3.1482110023498535,-3.0470075607299805,-4.7319207191467285,-2.9521420001983643,-3.3142876625061035,-2.668004274368286,-3.3557450771331787,-3.4452033042907715,-2.827357769012451,-2.9542880058288574,-5.1060943603515625,-3.8798046112060547,-3.5011391639709473,-4.0886406898498535,-3.112633228302002,-3.0440993309020996,-4.369373321533203,-3.3661651611328125
2,-3.074859619140625,-2.7980916500091553,-3.6448609828948975,-4.131371021270752,-3.340867280960083,-3.22129487991333,-2.4476921558380127,-3.2997756004333496,-3.277139186859131,-3.231881856918335,-3.8152971267700195,-2.9924886226654053,-4.944550514221191,-6.591972827911377,-3.261721611022949,-2.922363758087158,-6.554945468902588,-4.127114772796631,-1.9866114854812622,-4.505173683166504,-3.1844375133514404,-3.300581216812134,-3.1647708415985107,-3.0465383529663086,-3.008598566055298,-2.43090558052063,-4.1206841468811035,-4.318899154663086,-3.313349962234497,-3.6561384201049805,-2.5934388637542725,-3.0503430366516113,-3.674464702606201,-4.695626258850098,-3.4756386280059814,-3.2112276554107666,-4.386637210845947,-5.051709175109863,-2.7780981063842773,-4.021774768829346,-3.4018731117248535,-4.01934814453125,-4.072417259216309,-3.315239191055298,-3.3082969188690186,-3.521817207336426,-4.205095291137695,-2.3373234272003174,-3.266416072845459,-2.6455461978912354,-3.667268753051758,-2.0911529064178467,-3.1734299659729004,-3.6604678630828857,-3.5141608715057373,-3.4100468158721924,-3.350537061691284,-2.9983866214752197,-3.1253228187561035,-3.163980007171631,-3.031078815460205,-3.13552188873291,-3.7916784286499023,-3.8905539512634277,-2.538468599319458,-2.7746763229370117,-2.8796133995056152,-3.2081034183502197,-3.2012617588043213,-3.4845547676086426,-3.3905398845672607,-3.2954533100128174,-3.1743104457855225,-3.2852821350097656,-2.7821314334869385,-3.038205862045288,-3.3020315170288086,-3.375518321990967,-5.283928871154785,-3.613776683807373,-3.392148494720459,-2.9490442276000977,-2.93597412109375,-2.661625862121582,-2.95941424369812,-3.006784200668335,-3.4856724739074707,-3.2476303577423096,-3.1042733192443848,-3.486239433288574,-4.026169776916504,-3.686723232269287,-2.999783515930176,-3.1893436908721924,-4.597121238708496,-3.5642032623291016,-3.2176477909088135,-4.0839080810546875,-3.1980159282684326,-4.316542625427246
3,-3.514124870300293,-3.043752670288086,-3.4505560398101807,-5.454302787780762,-3.8926212787628174,-2.8427515029907227,-2.6729772090911865,-4.246695518493652,-2.871046543121338,-2.346681833267212,-4.111268043518066,-2.7791693210601807,-3.263878583908081,-2.9962620735168457,-3.0544931888580322,-2.831298828125,-3.4817593097686768,-3.2837884426116943,-2.1438703536987305,-3.864828586578369,-2.858978509902954,-7.852788925170898,-2.9174275398254395,-2.6064486503601074,-3.2135467529296875,-2.434229612350464,-2.87485671043396,-2.987204074859619,-3.5318217277526855,-2.318877935409546,-2.5418853759765625,-3.4960083961486816,-3.153442144393921,-3.7054295539855957,-2.2899117469787598,-2.708995819091797,-3.935612440109253,-3.0089759826660156,-3.6740610599517822,-2.9678280353546143,-3.0304532051086426,-2.729616641998291,-2.9292197227478027,-2.8268446922302246,-6.093151569366455,-3.45509672164917,-3.4877915382385254,-2.3604581356048584,-2.689924716949463,-2.390096664428711,-3.163572311401367,-1.7346787452697754,-3.6276347637176514,-2.972278118133545,-2.8238234519958496,-4.48958158493042,-4.07717227935791,-3.171943187713623,-2.561274528503418,-3.023521900177002,-2.8748555183410645,-2.6300864219665527,-2.8330812454223633,-3.6526224613189697,-2.615732192993164,-3.1981582641601562,-3.5472054481506348,-2.677260398864746,-2.979159355163574,-3.8233230113983154,-3.06192946434021,-3.212895393371582,-3.195953607559204,-2.9806838035583496,-3.7795605659484863,-2.5904932022094727,-3.3362770080566406,-3.051511526107788,-2.738619804382324,-3.1101622581481934,-2.90556001663208,-2.812246084213257,-2.230632781982422,-2.0888988971710205,-2.807920455932617,-3.014455556869507,-3.081202745437622,-2.5430898666381836,-3.349252223968506,-2.832756280899048,-3.163127899169922,-3.9708900451660156,-2.8521389961242676,-2.9602103233337402,-4.21586799621582,-4.127406597137451,-3.2182302474975586,-3.261962652206421,-4.463809967041016,-4.132431983947754
4,-2.792478322982788,-6.421203136444092,-3.147282123565674,-2.818028688430786,-3.7299678325653076,-2.9984514713287354,-2.690937042236328,-3.464717388153076,-3.8917806148529053,-3.4363420009613037,-4.043808937072754,-4.8281378746032715,-3.2730345726013184,-3.0640676021575928,-3.138378143310547,-2.7104201316833496,-3.724665880203247,-3.4165635108947754,-2.6799981594085693,-4.74290132522583,-4.942109107971191,-3.4554169178009033,-2.969292640686035,-2.8819799423217773,-4.113054275512695,-2.8546624183654785,-3.1778390407562256,-3.40575909614563,-3.6205575466156006,-3.4283559322357178,-4.366421699523926,-3.378659725189209,-6.622354507446289,-3.2886712551116943,-2.7215206623077393,-2.9419448375701904,-2.9398880004882812,-3.3602232933044434,-5.28279447555542,-2.6590867042541504,-3.399653911590576,-3.115906238555908,-3.35894775390625,-3.2380566596984863,-6.4406232833862305,-3.624936580657959,-3.600677251815796,-2.3393211364746094,-2.9486215114593506,-2.6100692749023438,-4.011013984680176,-4.039194107055664,-3.108818292617798,-4.841948509216309,-4.438963890075684,-5.781910419464111,-5.640199661254883,-4.458664417266846,-3.1360273361206055,-4.290297985076904,-3.252744197845459,-3.1374683380126953,-3.1356704235076904,-5.319033622741699,-4.006007194519043,-3.471977949142456,-4.065685272216797,-3.2454569339752197,-3.112478494644165,-3.315640926361084,-3.889833927154541,-3.4561469554901123,-3.5854382514953613,-3.4210970401763916,-4.3924102783203125,-2.700362205505371,-3.0918028354644775,-3.5326309204101562,-3.1394221782684326,-3.3634066581726074,-6.103584289550781,-2.9922471046447754,-3.5762898921966553,-3.442242383956909,-2.960922956466675,-3.253148317337036,-3.039778709411621,-2.585263967514038,-3.207169532775879,-3.078936815261841,-3.6337637901306152,-3.0088613033294678,-3.433229684829712,-3.265336275100708,-3.7531886100769043,-4.303788185119629,-3.1073083877563477,-5.120163917541504,-3.3834102153778076,-3.933709144592285
5,-2.3060147762298584,-3.8842694759368896,-3.7142231464385986,-3.786559581756592,-3.7594499588012695,-2.974738121032715,-2.245408535003662,-3.7512154579162598,-4.207100868225098,-4.001880168914795,-3.790102481842041,-3.2209670543670654,-4.252589225769043,-3.3223652839660645,-2.7868471145629883,-2.9767439365386963,-3.775683641433716,-3.585024118423462,-3.6956071853637695,-3.3257341384887695,-3.239046096801758,-3.3482494354248047,-4.5939555168151855,-3.1516075134277344,-3.6426713466644287,-2.0843565464019775,-3.2882940769195557,-3.724299669265747,-3.3498945236206055,-2.6845710277557373,-3.0088131427764893,-2.8502886295318604,-3.932779312133789,-3.142045259475708,-3.2288920879364014,-5.347185134887695,-2.551576614379883,-3.191019296646118,-3.269526958465576,-2.2855255603790283,-4.055484771728516,-3.2461812496185303,-3.2503509521484375,-3.5875422954559326,-3.7112841606140137,-3.3052003383636475,-3.773974895477295,-3.348416805267334,-3.4526002407073975,-4.354334354400635,-3.234476089477539,-1.5249052047729492,-3.0877110958099365,-3.6321539878845215,-3.497907876968384,-3.0919597148895264,-3.511366605758667,-2.8613078594207764,-3.4966816902160645,-4.1885986328125,-3.448227882385254,-4.9018707275390625,-3.1471142768859863,-3.483078718185425,-2.4635608196258545,-3.4218170642852783,-3.0547196865081787,-3.2956016063690186,-3.5801916122436523,-3.3769145011901855,-3.5258846282958984,-3.306156635284424,-2.9334452152252197,-2.5684123039245605,-2.3231539726257324,-2.354743003845215,-4.014430999755859,-3.027801036834717,-3.1899540424346924,-3.4210779666900635,-4.3244428634643555,-2.7588465213775635,-2.8451619148254395,-2.850600004196167,-3.331462860107422,-2.9680187702178955,-3.151928424835205,-2.2803306579589844,-5.954333305358887,-3.2047741413116455,-3.10284686088562,-3.311774253845215,-3.2668604850769043,-3.21390962600708,-3.2306439876556396,-3.4413516521453857,-3.094593048095703,-3.2469449043273926,-3.5488126277923584,-3.0118343830108643
6,-4.36353063583374,-2.9558675289154053,-2.6189708709716797,-6.566997051239014,-2.9338555335998535,-3.5624139308929443,-2.655587911605835,-3.193103313446045,-4.080391883850098,-3.426572799682617,-3.3128738403320312,-3.022703170776367,-3.01173734664917,-3.130798816680908,-3.36323881149292,-2.6325039863586426,-3.3987395763397217,-3.1554603576660156,-2.0522384643554688,-3.623879909515381,-2.624678134918213,-3.2471694946289062,-3.492321491241455,-2.638423204421997,-3.556901454925537,-2.3798391819000244,-3.201766014099121,-2.813173294067383,-2.7450547218322754,-2.628070592880249,-2.4917421340942383,-2.8601138591766357,-3.513532876968384,-2.83242130279541,-2.381495952606201,-2.6894354820251465,-3.566035270690918,-3.331043004989624,-2.885862112045288,-2.761319398880005,-3.8333284854888916,-2.6360902786254883,-2.480804204940796,-2.8243231773376465,-3.143378496170044,-3.451488494873047,-3.5735373497009277,-3.6785082817077637,-2.6446924209594727,-2.1217918395996094,-4.209535598754883,-2.197283983230591,-2.7372989654541016,-3.370945453643799,-3.0659751892089844,-3.375117301940918,-3.340503215789795,-2.8777294158935547,-2.5940608978271484,-3.272468328475952,-3.527956962585449,-2.4444808959960938,-2.6462972164154053,-3.2657361030578613,-2.36470627784729,-2.821873188018799,-2.8657097816467285,-2.663536548614502,-3.254810333251953,-2.7976722717285156,-3.011098861694336,-4.144851207733154,-3.1662240028381348,-4.029294013977051,-2.9318881034851074,-2.7710506916046143,-4.705785751342773,-3.138782262802124,-3.528191328048706,-3.4687325954437256,-3.505103588104248,-2.752687931060791,-2.190390110015869,-1.8404014110565186,-3.2247250080108643,-4.843058109283447,-3.4245400428771973,-2.8156678676605225,-3.1732425689697266,-2.885369300842285,-5.0884785652160645,-2.915961265563965,-3.14351749420166,-2.6440677642822266,-2.6905460357666016,-3.172978401184082,-3.0828890800476074,-2.835259437561035,-3.540067195892334,-2.8664541244506836
7,-4.205627918243408,-2.7114357948303223,-2.725126266479492,-2.651620864868164,-4.307882308959961,-2.9384255409240723,-3.008821964263916,-4.616218566894531,-3.172837972640991,-3.8127224445343018,-3.3061304092407227,-9.054962158203125,-3.1727163791656494,-2.955721855163574,-3.869185447692871,-2.7025654315948486,-3.541783094406128,-4.224066257476807,-1.0351536273956299,-4.085197448730469,-3.1987040042877197,-4.743768692016602,-3.1601154804229736,-3.093334197998047,-2.285614252090454,-2.532778263092041,-3.2585649490356445,-3.2022693157196045,-2.6016924381256104,-3.3713178634643555,-2.209404945373535,-3.7024078369140625,-3.124457359313965,-2.9983463287353516,-2.7292323112487793,-3.6742563247680664,-3.312072992324829,-4.208583831787109,-2.5074684619903564,-2.6390860080718994,-3.354422092437744,-3.804290533065796,-2.6503915786743164,-2.846773624420166,-3.1902387142181396,-4.3249969482421875,-3.392082691192627,-2.820798635482788,-2.9503884315490723,-2.7197399139404297,-2.8675765991210938,-2.1457936763763428,-5.9589715003967285,-3.202918767929077,-2.7969250679016113,-3.600144386291504,-3.235563278198242,-3.7562968730926514,-2.9708924293518066,-7.236896991729736,-2.9888768196105957,-2.971320629119873,-4.6843767166137695,-4.724889278411865,-4.807070732116699,-3.186694622039795,-2.588378429412842,-3.651982545852661,-2.9872312545776367,-3.1618099212646484,-3.3131988048553467,-6.227004051208496,-4.071788311004639,-3.6301867961883545,-2.872645854949951,-3.081188917160034,-2.986758232116699,-3.1819820404052734,-2.212092161178589,-3.4302005767822266,-4.945131301879883,-2.5331597328186035,-2.045553684234619,-2.0310873985290527,-3.101968288421631,-2.988945722579956,-5.990817070007324,-3.275825262069702,-2.9040629863739014,-2.4780445098876953,-2.870713710784912,-3.0289411544799805,-4.014952659606934,-5.317298889160156,-2.859621047973633,-2.9381496906280518,-3.8499300479888916,-3.395099639892578,-3.215810537338257,-3.686964511871338
8,-2.7325825691223145,-2.8103134632110596,-2.9249367713928223,-5.93910026550293,-5.0673322677612305,-3.0301835536956787,-3.46235990524292,-5.066621780395508,-2.8466804027557373,-2.8346853256225586,-3.6407508850097656,-3.288522243499756,-4.8447675704956055,-2.9858601093292236,-2.7044870853424072,-3.7482430934906006,-3.2662601470947266,-3.432293653488159,-1.7244951725006104,-3.6534132957458496,-4.789561748504639,-6.266049385070801,-3.2015929222106934,-2.9376416206359863,-3.1721014976501465,-2.724733352661133,-3.150392532348633,-3.0858473777770996,-3.205035924911499,-2.102254629135132,-2.6202869415283203,-3.979001998901367,-3.084595203399658,-3.440051555633545,-3.4803695678710938,-3.2366015911102295,-3.446528434753418,-2.824985980987549,-4.743155479431152,-2.249647855758667,-2.9420053958892822,-3.1162514686584473,-3.210019588470459,-2.931159257888794,-3.8585169315338135,-3.383284330368042,-3.3422741889953613,-2.7393696308135986,-3.166107654571533,-3.349238157272339,-3.8296847343444824,-1.4862481355667114,-4.157033920288086,-4.158287525177002,-3.0436158180236816,-3.071624755859375,-3.6085565090179443,-7.185827255249023,-3.0465872287750244,-2.7637717723846436,-2.389744997024536,-3.474496603012085,-4.3658552169799805,-3.614677667617798,-1.633000135421753,-2.9183456897735596,-3.2302680015563965,-3.6660284996032715,-4.381300449371338,-3.524413585662842,-3.5215399265289307,-3.4259777069091797,-3.560194253921509,-3.3228933811187744,-3.124189853668213,-3.4911251068115234,-2.9545536041259766,-3.847426414489746,-2.9510226249694824,-3.3750698566436768,-3.080252170562744,-2.916846752166748,-2.6979589462280273,-3.2341136932373047,-2.786257266998291,-2.757272481918335,-4.535463333129883,-1.3678306341171265,-3.2750847339630127,-4.701650619506836,-2.8310086727142334,-3.0042686462402344,-2.9840376377105713,-2.960576057434082,-3.1696598529815674,-4.593981742858887,-4.275106906890869,-3.061728000640869,-3.389169454574585,-6.676754474639893
9,-2.7735302448272705,-2.8606228828430176,-3.116611957550049,-2.849400758743286,-3.387873649597168,-4.737968444824219,-2.1876630783081055,-3.4491851329803467,-3.1572394371032715,-3.823430299758911,-3.5681889057159424,-3.144939661026001,-3.641860008239746,-2.9629287719726562,-3.508107900619507,-2.876293897628784,-6.701800346374512,-3.940199851989746,-2.565986394882202,-3.474517583847046,-4.212373733520508,-3.2628448009490967,-4.775897026062012,-3.4034676551818848,-2.999957323074341,-2.573061943054199,-4.105044841766357,-4.833101749420166,-3.1947906017303467,-3.0934929847717285,-2.7589919567108154,-3.6112136840820312,-3.3645544052124023,-4.094412803649902,-3.662269353866577,-3.165717840194702,-3.023364543914795,-3.668405532836914,-2.937880277633667,-2.642362356185913,-3.3642828464508057,-3.216238260269165,-2.970350742340088,-3.4153432846069336,-5.407978057861328,-4.344364166259766,-3.544023036956787,-5.104397773742676,-3.36967396736145,-2.702686309814453,-3.66817569732666,-2.145690441131592,-3.1417288780212402,-3.3938472270965576,-3.1010022163391113,-3.4614570140838623,-3.3999271392822266,-3.0730490684509277,-3.4990367889404297,-3.9579200744628906,-4.531435966491699,-3.0061075687408447,-4.389225959777832,-3.614668846130371,-2.8332762718200684,-2.874140501022339,-3.3241353034973145,-3.187584400177002,-2.801708459854126,-3.4421865940093994,-3.3451414108276367,-5.547732830047607,-3.093301773071289,-5.381333351135254,-3.058302879333496,-5.583510398864746,-2.98403000831604,-3.470688581466675,-3.5471296310424805,-4.125319480895996,-3.444401741027832,-3.097931385040283,-3.0727100372314453,-4.0406389236450195,-3.786062240600586,-2.939781904220581,-3.3142709732055664,-2.906240224838257,-3.814563274383545,-3.4843857288360596,-2.6424174308776855,-4.659250259399414,-3.206495523452759,-3.4617059230804443,-3.178070306777954,-6.14865255355835,-3.2811362743377686,-3.2377684116363525,-4.751465797424316,-2.852003812789917
