0,1,2,3,4,5
2.0515263,4.3597168e-10,30.979774,32.582382,2.150729e-11,3.4754368e-16
0.18140465,16.443657,0.3772792,0.6836493,2.3901892,1.3299726
0.89209306,8.047922,0.11107295,0.74827236,0.004595195,10.106617
3.9063015,4.270784e-10,2.1437369e-14,2.6876588,3.5271783,0.6604318
8.89834,3.3614547,0.124408856,2.3488848,2.9958715,2.9702706
3.896405,0.0638148,0.29132813,1.3098015,2.526826,0.7696785
0.57147676,0.0010581457,1.4594965e-13,2.745958,1.2889329,0.745408
0.029159611,1e-16,17.653212,0.5743962,2.275852,0.17584492
1.3879058,3.5354951e-06,3.144239,4.6080523,2.313737,2.977936
8.4248295,0.018609343,0.033268407,5.2536554,4.5828085,0.6879357
5.123468,1.866151,0.102020524,1.7497953,1.5262667,1.1806065
2.3858109,5.890646e-14,3.1937263,2.5839863,1.7850947,0.19803336
2.0948098,6.1203613,0.34915066,2.9366474,1.4431558,4.708947
10.162964,105.170235,1.5660147e-14,1.4234483,3.0695727,1.0717773
3.0773606,7.6680975,1.6702044,2.8804045,1.8348941,6.717272
4.2873273,0.00023196741,1.2575672e-11,3.90155,4.546027,0.4338393
0.8737436,0.058844313,0.044138912,1.9490719,2.508721,0.6434138
1.0171989,1e-16,2.310414,0.77686334,1.1301429,0.598202
4.5225735,12.257967,1.2878739,3.0811853,2.4805005,7.9463434
4.447218,2.4690042,1.2036936,2.940091,2.2034616,3.3368173
5.1151557,1e-16,1e-16,0.0007667251,8.640428,1e-16
5.5057545,4.065585e-05,5.9889684,1.115957,2.349896,1.0033127
0.390466,0.0076277116,0.08101422,1.7347194,2.5268936,0.2936899
1.2112827,0.014297405,0.023178484,0.3731782,1.9647933,0.21342538
0.11463223,1e-16,0.010239058,1.6384655,15.359601,0.45907646
1.6546954,0.06495744,0.63914555,0.5056553,0.83978385,0.26679975
4.5236993,1e-16,0.13215682,4.90426e-07,8.99023,0.08696764
0.8994803,1e-16,1e-16,0.49253368,14.907159,1e-16
7.330068,5.370505,0.08004569,2.552352,2.3110437,3.1114767
6.4941144,3.061833e-08,0.89690506,0.015913205,11.012701,0.3435789
0.34719816,1.4899323e-11,0.00833157,9.395095e-08,6.080649,0.5211378
2.5522714,1.463355,0.31080338,1.2327262,7.181238e-08,1.6699042
0.61262554,3.332499e-06,10.830133,1.4020529,1.8291298,0.17236616
2.2902267,0.008665581,1e-16,0.0033772301,5.6397758,4.451708e-10
1.432379,0.006329337,1e-16,2.516871,2.9038606,0.1437812
2.0911012,1e-16,0.14554028,1e-16,5.696642,1e-16
6.2529416,1e-16,6.228759,2.1936722,1.1709011,5.5727944
1.1191103,0.03311308,1e-16,2.2917984,1.9280425,0.60087603
0.52544206,0.47872484,2.9056242,1.0519671,1.2477543,0.64969194
1.4165361,0.09768263,2.8526146,0.68975115,0.47792202,0.11662229
2.5135167,0.04923172,0.12048745,2.8980355,1.9497579,0.696964
0.2749431,1e-16,0.22152536,0.6731707,9.058742,0.1325645
7.7480555,6.162162,1.0594978,1.7890916,0.2904005,2.4886503
3.0616624,2.7634566e-12,0.49922574,2.6216497,5.238439,0.958537
1.1094041,0.29951972,0.6340131,2.9114137,2.6395178,0.64871967
1.8475108,1e-16,0.24939504,1.8071264,2.8704188,0.7979866
2.1859708,1e-16,0.83174163,1e-16,6.9326577,0.28132808
1.5068778,1.2395612,0.449916,1.2633886,0.83726835,1.4904042
2.6480348,24.291853,1e-16,1.3082026,0.009133524,4.4284782
1e-16,0.004703968,13.925201,0.5453049,2.650885,0.15943092
6.8286424,1.5164333e-16,1e-16,1e-16,5.5605135,1e-16
3.7311776,0.049555067,0.089491755,1e-16,7.0484877,0.30588526
2.7131126,1e-16,0.019209946,4.918425e-14,5.699116,0.24585289
2.1310484,1e-16,1e-16,0.08193494,7.769846,0.5129501
1.8039262,0.2197787,8.0594917e-13,3.1672006,5.243268,0.5464291
4.6700506,1e-16,0.44540098,2.967478,3.1324735,0.76999515
0.8210666,1e-16,1e-16,0.59262794,17.952784,1e-16
1.8884459,1.7292275e-06,1e-16,1.0734411e-05,12.885102,0.2079909
4.3428183,1e-16,6.3232185e-16,4.674192,10.720437,0.85802454
7.3621774,0.12590799,1e-16,3.4880147,2.4302378,0.42326596
0.71216244,0.2524342,0.047880415,1.2399161,0.8563413,0.33435574
2.9187458,0.02570103,0.45122346,0.01851576,8.770821,0.1614062
2.1473827,0.025235957,0.26652896,0.27836296,0.8739474,0.25036785
0.627719,2.0742323,0.08468805,0.7459256,0.30846068,4.356863
3.3808365,0.43385416,0.12060912,2.1025724,1.3000605,0.62677646
2.0970085,1.14629486e-10,0.45254382,2.9029326e-13,3.4036238,0.105091356
0.10866389,26.347073,0.0032954232,2.16529,1.7489456,16.787527
7.702894,1.9070391e-16,1e-16,1e-16,5.7746325,0.08725364
3.399053,0.046059676,1.0816634e-06,1e-16,6.5692596,1.5775134e-07
0.61837655,0.9432737,0.7513085,2.1524324,0.6765051,1.4966885
2.3755043,1e-16,0.018716244,1.0609489e-05,8.138124,0.13184898
4.430027,8.342365,0.7229222,0.9688056,2.2984123,9.501566
3.993543,2.289719,1e-16,4.656466,2.957391,3.0947056
2.5756054,0.2701565,0.21811298,1.867753,1.7073066,0.64394116
2.2674692,4.7015922e-14,2.1812263,1.3696425,1.2842792,0.36882696
0.9960482,1e-16,1.3729256,0.65032965,1.4199055,0.14810276
1.6881077,0.06174059,1.3989931e-08,0.1039497,6.0749454,0.3445571
0.8387826,0.02831165,1.2597688,1.181045,1.964662,0.18678515
1.7877847,1.1363339e-07,1e-16,8.522394e-07,4.822601,0.03892661
1.8154738,0.28585625,0.061831746,4.5164886,3.1893332,1.4080322
1.6501259,0.38476387,0.2116781,1.819057,2.56978,0.94937605
0.19356549,1.0598086e-11,24.228958,2.7371957,5.8091493,1.134185
6.472409,2.3871984,4.064096e-05,4.2239356,2.086322,2.0052202
5.639779,0.11183203,1e-16,2.858509,1.897868,0.27845395
5.722593,0.021543097,0.15814084,0.2524803,6.7977843,1.0112503
1.1639229,1e-16,1e-16,0.21611603,8.2394905,1e-16
